top - 22:54:16 up  2:47,  1 user,  load average: 2.07, 1.25, 1.02
Tasks: 336 total,   2 running, 333 sleeping,   0 stopped,   1 zombie
%Cpu(s): 10.5 us, 15.8 sy,  0.0 ni, 68.4 id,  5.3 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.9 total,    516.3 free,   2422.0 used,    728.1 buff/cache     
MiB Swap:   3714.0 total,   2245.9 free,   1468.1 used.   1445.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2500 gv237     20   0  309800   6236   5844 S   0.0   0.2   0:00.02 gvfs-mt+
   2505 gv237     20   0  310468   6056   6008 S   0.0   0.2   0:00.00 ibus-dc+
   2506 gv237     20   0  421504  10064   8880 S   0.0   0.3   0:02.42 ibus-ex+
   2508 gv237     20   0  310432   6428   6168 S   0.0   0.2   0:00.02 ibus-po+
   2536 gv237     20   0  825332  10668  10088 S   0.0   0.3   0:00.14 evoluti+
   2559 gv237     20   0  236348   5956   5676 S   0.0   0.2   0:00.02 gvfsd-m+
   2581 gv237     20   0  236776   6788   6220 S   0.0   0.2   0:03.58 ibus-en+
   2610 gv237     20   0  609448   7180   6724 S   0.0   0.2   0:00.04 gvfsd-t+
   2646 gv237     20   0 2801884  10532  10532 S   0.0   0.3   0:00.11 gjs
   2647 gv237     39  19  735280  10804   6912 S   0.0   0.3   0:00.47 tracker+
   2676 gv237     20   0  832684  10968   9752 S   0.0   0.3   0:00.39 xdg-des+
   2681 gv237     20   0  908588  15912  14332 S   0.0   0.4   0:00.34 xdg-des+
   2902 root      20   0  313372   6772   6560 S   0.0   0.2   0:00.03 ubuntu-+
   2917 gv237     20   0  417760  11076  10052 S   0.0   0.3   0:00.14 xdg-des+
   3009 gv237     20   0  260944   7848   6888 S   0.0   0.2   0:00.24 Xwayland
   3013 gv237     20   0  642928  12452  11400 S   0.0   0.3   0:00.17 gsd-xse+
   3034 gv237     20   0  267156   9244   8936 S   0.0   0.2   0:00.08 ibus-x11
   3040 gv237     20   0  723508  12220  11292 S   0.0   0.3   0:00.16 mutter-+
   3061 gv237     20   0   31912   5892   5892 S   0.0   0.1   0:00.04 gnome-t+
   3062 gv237     20   0  458944  10972  10880 S   0.0   0.3   0:00.09 gnome-t+
   3068 gv237     20   0  703736  40056  29708 S   0.0   1.0   0:23.15 gnome-t+
   3076 gv237     20   0   11032   2444   2444 S   0.0   0.1   0:00.10 bash
   3093 gv237     20   0   11.9g 533916 137916 S   0.0  13.5   8:13.85 firefox
   3246 gv237     20   0   21292   1112   1032 S   0.0   0.0   0:00.01 crashhe+
   3330 gv237     20   0  228596  29312  28768 S   0.0   0.7   0:00.12 Socket +
   3354 gv237     20   0  295824  19056  14584 S   0.0   0.5   0:00.22 forkser+
   3362 gv237     20   0 2454712  71452  60008 S   0.0   1.8   0:01.41 WebExte+
   3371 gv237     20   0  470728  33636  28792 S   0.0   0.8   0:02.37 RDD Pro+
   3399 gv237     20   0 2756772 203644  80376 S   0.0   5.1   0:40.07 Privile+
   3427 gv237     20   0 1765648   7008   1676 S   0.0   0.2   0:01.49 snap
   3917 gv237     20   0  443244  32512  27592 S   0.0   0.8   0:00.14 Utility+
   3925 gv237     20   0 2599360 104236  83204 S   0.0   2.6   0:06.55 Isolate+
   4280 gv237     20   0  119900   4680   4316 S   0.0   0.1   0:00.82 speech-+
   4293 gv237     20   0       0      0      0 Z   0.0   0.0   0:00.33 sd_espe+
   4298 gv237     20   0  107388   4704   4580 S   0.0   0.1   0:00.01 sd_espe+
   4338 gv237     20   0  162700   4024   3888 S   0.0   0.1   0:01.64 sd_dummy
   4341 gv237     20   0    5676   2436   2436 S   0.0   0.1   0:00.00 sd_open+
   4402 gv237     20   0  569268  19744  17120 S   0.0   0.5   0:00.65 update-+
   4741 gv237     20   0 2715684 159528  83976 S   0.0   4.0   0:48.43 Isolate+
   5234 gv237     20   0   39144   2084   1796 S   0.0   0.1   0:00.22 snapd-d+
   5382 gv237     20   0  429592   6484   4532 S   0.0   0.2   0:00.26 snapd-d+
   5473 gv237     20   0 2432896  73212  62116 S   0.0   1.8   0:04.63 Isolate+
   5479 gv237     20   0 2550324  99852  81496 S   0.0   2.5   0:07.94 Isolate+
   5514 gv237     20   0 2574772 120436  81476 S   0.0   3.0   0:11.18 Isolate+
   5927 root      20   0  600412  15568  14108 S   0.0   0.4   0:03.32 fwupd
   5955 root      20   0   83988   2020   2020 S   0.0   0.1   0:00.00 gpg-age+
   6253 root      20   0   19664   5532   5456 S   0.0   0.1   0:00.32 sudo
